EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,Silicate,SILCAT_FLAG_W,Nitrate,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,Phosphate,PHSPHT_FLAG_W,CFC11,CFC11_FLAG_W,CFC12,CFC12_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,tCO2,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TMP,SA,CT,pdens
31DSCG94_3,P18N,148,1,136,1025,2,19940414,1226,1.0007,-110.333,3675,7.6,25.2562,34.9019,2,34.9044,2,171.5,2,194.1,6,3.19,2,5.79,2,0.17,2,0.62,2,1.81,2,1.008,2,75.7,2,1.2,2,2033.1,2,2296,2,25,35.06685391,25.25871454,23.19158702
31DSCG94_3,P18N,148,1,134,1216,2,19940414,1226,1.0007,-110.333,3675,48.6,17.7351,34.855,2,34.8586,2,88.8,2,103.4,6,11.32,2,17.34,2,0.48,2,1.37,2,1.197,2,0.658,2,46.2,2,0.5,2,2130.3,2,2292,2,25,35.02023581,17.72181189,25.2325828
31DSCG94_3,P18N,148,1,130,1241,2,19940414,1226,1.0007,-110.333,3675,151.3,13.4454,34.913,2,34.9131,2,70.7,2,62.8,6,19.31,2,25.25,2,0.01,2,1.8,2,0.701,2,0.374,2,7.2,2,0.3,2,2192.5,2,2293,2,25,35.07986964,13.41525058,26.24450209
31DSCG94_3,P18N,148,1,128,1032,2,19940414,1226,1.0007,-110.333,3675,200.7,12.7429,34.8883,2,34.8884,2,61,2,53.4,6,21.64,2,26.9,2,0.01,2,1.93,2,0.543,2,0.302,2,-0.3,2,0.2,2,2206.7,2,2296,2,25,35.05530884,12.70722158,26.3681289
31DSCG94_3,P18N,148,1,127,1008,2,19940414,1226,1.0007,-110.333,3675,249.9,12.5461,34.8767,2,34.8769,2,54.4,2,40,2,23.19,2,28.56,2,0.02,2,2.04,2,0.462,2,0.259,2,-999,9,-999,9,2217.4,2,2297,2,25,35.04389404,12.50426702,26.39930385
31DSCG94_3,P18N,148,1,126,1007,2,19940414,1226,1.0007,-110.333,3675,301.4,11.6038,34.8151,2,34.7141,4,28.2,2,26.8,3,39.24,4,35.47,4,0,3,2.5,4,0.129,4,0.075,4,-70.2,4,0,4,2260.9,4,2302,4,-999,34.98231512,11.55824581,26.53272618
31DSCG94_3,P18N,148,1,123,1220,2,19940414,1226,1.0007,-110.333,3675,400.2,9.8536,34.7143,2,34.7129,2,21.4,2,20.4,2,34.4,2,35.51,2,0.01,2,2.47,2,0.105,2,0.057,2,-69.7,2,0,2,2260.7,2,2300,2,25,34.8819416,9.802262303,26.76677749
31DSCG94_3,P18N,148,1,122,1245,2,19940414,1226,1.0007,-110.333,3675,499.5,8.3563,34.6368,2,34.6353,2,28.7,2,32.1,2,41.28,2,37.93,2,0.01,2,2.61,2,0.029,2,0.016,2,-103.3,2,-0.2,2,2268.2,2,2302,2,25,34.80489867,8.300207437,26.94797983
31DSCG94_3,P18N,148,1,121,1206,2,19940414,1226,1.0007,-110.333,3675,601,7.3417,34.5895,2,34.5873,2,38.5,2,46.1,2,48.02,2,38.49,2,0.01,2,2.7,2,0.02,6,0.006,6,-999,9,-999,9,2272,2,2306,2,25,34.7581632,7.280016183,27.06139587
31DSCG94_3,P18N,148,1,120,1028,2,19940414,1226,1.0007,-110.333,3675,700.4,6.0945,34.5624,2,34.5612,2,45.5,2,48,2,63.08,2,40.58,2,0,2,2.86,2,0.005,2,0,2,-999,9,-999,9,2291.1,2,2325,2,-999,34.73180675,6.0298867,27.20871601
