EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2TMP,PH_SWS,PH_SWS_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,NEON,NEON_FLAG_W,NEONER,CCL4,CCL4_FLAG_W,POC,POC_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,DON,DON_FLAG_W,CHLORA,CHLORA_FLAG_W,ARGON,ARGON_FLAG_W,TRITER,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOM443,CDOM443_FLAG_W,CDOM490,CDOM490_FLAG_W,CDOM555,CDOM555_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W,THETA,D18O_NO3,D18O_NO3_FLAG_W,CDOM2C,CDOM2C_FLAG_W,CDOM3C,CDOM3C_FLAG_W,LAB_DEN,LAB_DEN_FLAG_W,DELSI30,DELSI30_FLAG_W,N2,N2_FLAG_W,D15N_NO3,D15N_NO3_FLAG_W,HELIER,DELHER
33RO20071215,       TEST,998,1,4,11004,3,20071217,358,24.4593,-112.9065,2871,2699.8,1.7334,34.6664,2,34.6678,2,111.3,2,112.9,2,163.3,6,38.8,6,0,6,2.63,2,0.01,2,0.011,2,0,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,0.008,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,1.5398,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,1,11001,3,20071217,358,24.4593,-112.9065,2871,2919.4,1.6498,34.6711,2,34.6731,2,117.4,2,116.9,2,165.6,2,38.4,2,0,2,2.58,2,0.016,6,0.017,6,0.0501,6,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,0.009,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,1.4374,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,2,11002,3,20071217,358,24.4593,-112.9065,2871,2919.7,1.6501,34.6711,2,34.6729,2,117.4,2,-999,9,165.2,6,38.4,6,0,6,2.59,2,0.012,2,0.013,2,0,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,0.01,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,1.4377,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,16,11016,2,20071217,358,24.4593,-112.9065,2871,2926.3,1.6535,34.6712,2,34.674,2,117.5,2,117.7,2,165.4,2,38.2,2,0,2,2.57,2,0.009,2,0.013,2,0.05,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,0.007,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,1.4403,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,        P18,1,1,13,11013,2,20071217,2055,22.8672,-110.0007,262,11,23.6203,34.9908,2,35.0009,2,208.2,2,-999,9,-999,9,-999,9,-999,9,-999,9,1.813,6,1.153,6,1.1175,6,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,0.8,2,-999,9,-999,0.1896,2,0.132,2,0.058,2,0.0363,2,0.02,2,0.0088,2,0.0028,2,0.0181,2,0.0202,2,23.618,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,        P18,1,1,12,11012,2,20071217,2055,22.8672,-110.0007,262,11,23.6238,34.9898,2,34.9985,2,208.5,2,207.9,2,2.9,2,0.4,2,0.09,2,0.5,2,-999,9,-999,9,-999,9,2043.4,2,2324.7,2,350.8,2,20,8.0069,2,25,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,77.97,2,6.28,2,-999,1,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,23.6215,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,        P18,1,1,11,11010,2,20071217,2055,22.8672,-110.0007,262,20.3,23.5643,35.019,2,35.0289,2,202.6,2,204,2,3.4,2,0.7,2,0.18,2,0.56,2,-999,9,-999,9,-999,9,2050.7,2,2330.1,2,359.1,6,20,8.0279,2,25,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,0.74,2,-999,9,-999,0.2052,2,0.1455,2,0.0668,2,0.0425,2,0.0239,2,0.0108,2,0.004,2,0.0174,2,0.019,2,23.5601,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,        P18,1,1,10,11011,2,20071217,2055,22.8672,-110.0007,262,39.7,22.8267,35.0909,2,35.0987,2,206.1,2,207.3,2,3.4,2,0.7,2,0.14,2,0.67,2,-999,9,-999,9,-999,9,2065.8,2,2342.3,2,-999,9,-999,8.0095,2,25,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,76.38,2,5.14,2,-999,1,0.43,2,-999,9,-999,0.2434,2,0.1754,2,0.0845,2,0.0552,2,0.031,2,0.0134,2,0.0051,2,0.0171,2,0.0179,2,22.8187,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,        P18,1,1,9,11009,2,20071217,2055,22.8672,-110.0007,262,59.3,21.7629,34.9861,2,34.9865,2,162.2,2,148.7,2,10.6,2,7.3,2,0.31,2,1.15,2,1.814,2,1.138,2,1.0596,2,2123.4,2,2333.6,2,532.4,2,20,7.8046,2,25,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,0.22,2,-999,9,-999,0.2853,2,0.2097,2,0.1048,2,0.0714,2,0.04,2,0.0172,2,0.0071,2,0.0165,2,0.0169,2,21.7513,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,        P18,1,1,8,11008,2,20071217,2055,22.8672,-110.0007,262,79.6,17.3684,34.8195,2,34.7831,2,73.9,2,72.8,2,21.8,2,18.1,2,0.05,2,1.96,2,-999,9,-999,9,-999,9,2212.5,2,2314.8,2,-999,9,-999,7.6187,2,25,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,59.38,2,20.77,2,-999,1,0.05,2,-999,9,-999,0.2937,2,0.2189,2,0.1171,2,0.0829,2,0.0468,2,0.0197,2,0.0082,2,0.016,2,0.0156,2,17.3551,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
