EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2TMP,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,NEON,NEON_FLAG_W,NEONER,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,CTDRAW,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W,DCNS,ARABI,ARABI_FLAG_W,FUCO,FUCO_FLAG_W,GALA,GALA_FLAG_W,GLUC,GLUC_FLAG_W,MAN,MAN_FLAG_W,RHAM,RHAM_FLAG_W,BRDU,BRDU_FLAG_W,THETA,HELIER,DELHER
3.2502E+11,       P16N,1,2,15,15,2,20060214,1218,-17.0002,-149.9995,1935,1201.3,3.3137,34.5429,2,34.5325,4,144.5,2,143,2,83.8,2,36.3,6,0,6,2.49,6,0.014,2,0.008,2,-999,5,2268.2,2,2356.1,2,-999,9,-999,7.562,2,25,0.005,2,0.003,1.9047,2,20.13,2,-999,5,-175.3,2,2.9,8.112,2,0.024,36.7,2,40.36,2,1201.3,0.098,2,0.061,2,0.026,2,0.016,2,0.0255,2,0.0277,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,3.2273,0.0057,0.14
3.2502E+11,       P16N,1,2,14,14,2,20060214,1218,-17.0002,-149.9995,1935,1401.3,2.8978,34.5737,2,34.5634,4,145,2,144,2,94.5,2,36.6,6,0,6,2.51,6,0.01,2,0,2,-999,5,2278.4,2,2367.7,2,-999,9,-999,7.5669,2,25,0.01,2,0.003,1.9093,2,22.74,2,-999,5,-192.7,2,2.6,8.101,2,0.024,36.38,2,40.8,2,1401.3,0.098,2,0.061,2,0.026,2,0.015,2,0.0253,2,0.0276,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.7992,0.0057,0.14
3.2502E+11,       P16N,1,2,13,13,2,20060214,1218,-17.0002,-149.9995,1935,1600,2.607,34.5964,2,34.5814,4,146.8,2,145.7,2,102,2,36.5,6,0,6,2.51,6,-999,9,-999,9,-999,9,2286.8,2,2376.3,2,-999,9,-999,7.5631,2,25,0.007,2,0.003,1.9725,2,24.15,2,-999,5,-200.8,2,2.7,8.343,2,0.025,37.37,2,40.63,2,1600,0.098,2,0.062,2,0.027,2,0.015,2,0.0236,2,0.0258,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.4955,0.0059,0.14
3.2502E+11,       P16N,1,2,12,12,2,20060214,1218,-17.0002,-149.9995,1935,1800.5,2.3709,34.6175,2,34.6026,4,148,2,147.2,2,109.1,2,36.5,6,0,6,2.52,6,0.009,2,0.002,2,-999,5,2294.8,2,2384.1,2,-999,9,-999,7.5683,2,25,0.001,2,0.002,1.9547,2,25.3,2,-999,5,-207.3,2,2.5,8.23,2,0.025,36.3,2,40.22,2,1800.5,0.102,2,0.066,2,0.029,2,0.017,2,0.0227,2,0.0246,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.2458,0.0059,0.14
3.2502E+11,       P16N,1,2,11,11,2,20060214,1218,-17.0002,-149.9995,1935,1999,2.1484,34.6366,2,34.6168,4,150.3,2,149.6,2,115,2,36.3,6,0,6,2.52,6,-999,9,-999,9,-999,9,2300.6,2,2391.3,2,-999,9,-999,7.5748,2,25,0.004,2,0.002,1.9861,2,25.36,2,-999,5,-208.3,2,2.7,8.371,2,0.025,37.2,2,40.54,2,1999,0.099,2,0.063,2,0.026,2,0.014,2,0.025,2,0.0269,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.0098,0.006,0.14
3.2502E+11,       P16N,1,2,10,10,4,20060214,1218,-17.0002,-149.9995,1935,2199.8,2.0385,34.6461,2,-999,9,152.4,2,-999,5,-999,1,-999,1,-999,1,-999,1,-999,9,-999,9,-999,9,-999,9,-999,5,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-9,-999,9,-999,-999,9,-999,9,2199.8,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.8843,-999,-999
3.2502E+11,       P16N,1,2,9,9,2,20060214,1218,-17.0002,-149.9995,1935,2398.8,1.9097,34.6563,2,34.6378,4,155.1,2,155.9,2,120.6,2,36,6,0,6,2.5,6,0.011,2,0.001,2,-999,5,2303.4,2,2395.3,2,-999,9,-999,7.5804,2,25,-999,9,-999,-999,9,-999,9,-999,5,-218.1,2,2.8,-999,9,-999,36.66,2,39.94,2,2398.8,0.098,2,0.061,2,0.026,2,0.014,2,0.0247,2,0.0269,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.7402,-999,-999
3.2502E+11,       P16N,1,2,8,8,2,20060214,1218,-17.0002,-149.9995,1935,2600.8,1.8064,34.666,2,34.6588,4,157.9,2,157.7,2,122.8,2,35.9,6,0,6,2.49,6,0.005,2,0.002,2,-999,5,2305.7,2,2396.4,2,-999,9,-999,7.5953,2,25,-999,9,-999,-999,9,-999,9,-999,5,-214.7,2,2.3,-999,9,-999,37.27,2,40.04,2,2600.8,0.1,2,0.063,2,0.026,2,0.014,2,0.0256,2,0.0276,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.6205,-999,-999
3.2502E+11,       P16N,1,2,7,7,2,20060214,1218,-17.0002,-149.9995,1935,2799.3,1.7424,34.6715,2,34.6618,4,161,2,160.6,2,123.7,2,35.8,6,0,6,2.48,6,-999,9,-999,9,-999,9,2307,2,2397.5,2,-999,9,-999,7.5856,2,25,-999,9,-999,-999,9,-999,9,-999,5,-216.6,2,2.5,-999,9,-999,36.85,2,39.14,2,2799.3,0.1,2,0.063,2,0.025,2,0.014,2,0.0257,2,0.0277,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.5394,-999,-999
3.2502E+11,       P16N,1,2,6,6,2,20060214,1218,-17.0002,-149.9995,1935,3000,1.6792,34.677,2,34.6523,4,163.5,2,163.6,2,124.3,2,35.5,6,0,6,2.46,6,0.009,2,0.001,2,-999,5,-999,5,2395.1,2,-999,9,-999,7.6003,2,25,-999,9,-999,-999,9,-999,9,-999,5,-204.9,2,2.7,-999,9,-999,38.01,2,39.34,2,3000,0.103,2,0.067,2,0.031,2,0.015,2,0.0215,2,0.0235,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.4585,-999,-999
3.2502E+11,       P16N,1,2,5,5,2,20060214,1218,-17.0002,-149.9995,1935,3300.3,1.5727,34.6855,2,34.6751,4,168.7,2,169.5,2,124.6,2,35.2,6,0,6,2.44,6,-999,9,-999,9,-999,9,2301.2,2,2394,6,-999,9,-999,7.5977,2,25,-999,9,-999,-999,9,-999,9,-999,5,-200.8,2,2.8,-999,9,-999,36.58,2,38.58,2,3300.3,0.105,2,0.067,2,0.029,2,0.015,2,0.0232,2,0.0251,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.325,-999,-999
3.2502E+11,       P16N,1,2,4,4,2,20060214,1218,-17.0002,-149.9995,1935,3600.6,1.5252,34.6903,2,-999,4,172.6,2,173.1,2,123.9,6,34.8,6,0,6,2.42,6,0.007,2,0,2,-999,5,2295.4,2,2392.3,2,-999,9,-999,7.6038,2,25,-999,9,-999,-999,9,-999,9,-999,5,-198.6,2,2.8,-999,9,-999,38.29,2,37.96,2,3600.6,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.248,-999,-999
3.2502E+11,       P16N,1,2,3,3,2,20060214,1218,-17.0002,-149.9995,1935,3700,1.51,34.6919,2,34.6724,4,173.6,2,174.6,2,123.7,6,34.8,6,0,6,2.4,6,0.006,2,0,2,-999,5,1979.2,4,2391.7,2,-999,9,-999,7.6036,2,25,-999,9,-999,-999,9,-999,9,-999,5,-193,2,2.5,-999,9,-999,37.11,2,38.06,2,3700,0.102,2,0.064,2,0.026,2,0.014,2,0.0255,2,0.0274,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.2228,-999,-999
3.2502E+11,       P16N,1,2,1,1,2,20060214,1218,-17.0002,-149.9995,1935,3802.4,1.4995,34.6932,2,34.6828,4,175.3,2,175.8,2,123.4,6,34.7,6,0,6,2.4,6,0.004,2,0,2,-999,5,2291,2,2391.4,2,-999,9,-999,7.6041,2,25,-999,9,-999,-999,9,-999,9,-999,5,-195.9,2,2.8,-999,9,-999,38.33,2,37.94,2,3802.4,0.106,2,0.069,2,0.03,2,0.016,2,0.0229,2,0.0248,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.2018,-999,-999
3.2502E+11,       P16N,2,2,35,35,2,20060214,2114,-16,-150,4226,10.9,29.1048,35.8835,2,35.8388,4,195.3,2,195.1,2,0.2,2,0,2,-999,2,0.13,2,1.47,2,0.944,2,-999,5,1988.8,6,2345.7,2,251.3,2,20,8.1377,2,25,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-9,-999,9,-999,72.98,2,3.77,2,10.9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,29.1021,-999,-999
3.2502E+11,       P16N,2,2,34,34,2,20060214,2114,-16,-150,4226,14.6,29.0338,35.8619,2,35.8596,4,195.6,2,195.1,2,0.2,2,0.1,2,0,2,0.13,2,-999,9,-999,9,-999,9,1989.8,2,2348.6,2,249,6,20,8.1396,2,25,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-9,-999,9,-999,71.59,2,-999,2,14.6,0.027,2,0.015,2,0,4,0.001,2,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,29.0303,-999,-999
3.2502E+11,       P16N,2,2,33,33,2,20060214,2114,-16,-150,4226,35.5,28.7103,35.954,2,35.9498,4,197.7,2,197.4,2,0.3,2,0.1,2,0,2,0.13,2,-999,9,-999,9,-999,9,1995.1,2,2353.5,2,252.7,2,20,8.1386,2,25,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-9,-999,9,-999,71.75,2,4.72,2,35.5,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,28.7018,-999,-999
3.2502E+11,       P16N,2,2,32,32,2,20060214,2114,-16,-150,4226,60.6,27.1413,36.0792,2,36.0727,4,205.4,2,206,2,0.1,2,0,2,0,2,0.14,2,1.646,2,1.033,2,-999,5,2010.3,2,2361.4,2,262.5,2,20,8.1234,2,25,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-9,-999,9,-999,67.14,2,4.21,2,60.6,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.1273,-999,-999
3.2502E+11,       P16N,2,2,31,31,2,20060214,2114,-16,-150,4226,85,25.9743,36.0569,2,36.0447,4,206.2,2,205.9,2,0.3,2,0,2,0,2,0.15,2,-999,9,-999,9,-999,9,2017.9,2,2358.6,2,274.6,2,20,8.1103,2,25,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-9,-999,9,-999,66.1,2,4.75,2,85,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,25.9553,-999,-999
